nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
499,Ferkokel,Pignite,Feuer,Kampf,Unova,V,1,,tepig,90,93,55,70,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/499.png,https://archives.bulbagarden.net/media/upload/1/10/0499Pignite.png
500,Flambirex,Emboar,Feuer,Kampf,Unova,V,2,,pignite,110,123,65,100,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/500.png,https://archives.bulbagarden.net/media/upload/5/52/0500Emboar.png
501,Ottaro,Oshawott,Wasser,,Unova,V,0,,,55,55,45,63,45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/501.png,https://archives.bulbagarden.net/media/upload/9/90/0501Oshawott.png
502,Zwottronin,Dewott,Wasser,,Unova,V,1,,oshawott,75,75,60,83,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/502.png,https://archives.bulbagarden.net/media/upload/2/2c/0502Dewott.png
503,Admurai,Samurott,Wasser,,Unova,V,2,,dewott,95,100,85,108,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/503.png,https://archives.bulbagarden.net/media/upload/d/d8/0503Samurott.png
504,Nagelotz,Patrat,Normal,,Unova,V,0,,,45,55,39,35,39,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/504.png,https://archives.bulbagarden.net/media/upload/c/c6/0504Patrat.png
505,Kukmarda,Watchog,Normal,,Unova,V,1,,patrat,60,85,69,60,69,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/505.png,https://archives.bulbagarden.net/media/upload/f/f9/0505Watchog.png
506,Yorkleff,Lillipup,Normal,,Unova,V,0,,,45,60,45,25,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/506.png,https://archives.bulbagarden.net/media/upload/5/5d/0506Lillipup.png
507,Terribark,Herdier,Normal,,Unova,V,1,,lillipup,65,80,65,35,65,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/507.png,https://archives.bulbagarden.net/media/upload/c/ce/0507Herdier.png
508,Bissbark,Stoutland,Normal,,Unova,V,2,,herdier,85,110,90,45,90,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/508.png,https://archives.bulbagarden.net/media/upload/4/41/0508Stoutland.png
509,Felilou,Purrloin,Unlicht,,Unova,V,0,,,41,50,37,50,37,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/509.png,https://archives.bulbagarden.net/media/upload/3/31/0509Purrloin.png
510,Kleoparda,Liepard,Unlicht,,Unova,V,1,,purrloin,64,88,50,88,50,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/510.png,https://archives.bulbagarden.net/media/upload/4/45/0510Liepard.png
511,Vegimak,Pansage,Pflanze,,Unova,V,0,,,50,53,48,53,48,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/511.png,https://archives.bulbagarden.net/media/upload/c/cd/0511Pansage.png
512,Vegichita,Simisage,Pflanze,,Unova,V,1,,pansage,75,98,63,98,63,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/512.png,https://archives.bulbagarden.net/media/upload/9/93/0512Simisage.png
513,Grillmak,Pansear,Feuer,,Unova,V,0,,,50,53,48,53,48,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/513.png,https://archives.bulbagarden.net/media/upload/9/9a/0513Pansear.png
514,Grillchita,Simisear,Feuer,,Unova,V,1,,pansear,75,98,63,98,63,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/514.png,https://archives.bulbagarden.net/media/upload/7/73/0514Simisear.png
515,Sodamak,Panpour,Wasser,,Unova,V,0,,,50,53,48,53,48,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/515.png,https://archives.bulbagarden.net/media/upload/c/c1/0515Panpour.png
516,Sodachita,Simipour,Wasser,,Unova,V,1,,panpour,75,98,63,98,63,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/516.png,https://archives.bulbagarden.net/media/upload/0/08/0516Simipour.png
517,Somniam,Munna,Psycho,,Unova,V,0,,,76,25,45,67,55,24,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/517.png,https://archives.bulbagarden.net/media/upload/5/54/0517Munna.png
518,Somnivora,Musharna,Psycho,,Unova,V,1,,munna,116,55,85,107,95,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/518.png,https://archives.bulbagarden.net/media/upload/1/1b/0518Musharna.png
519,Dusselgurr,Pidove,Normal,Flug,Unova,V,0,,,50,55,50,36,30,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/519.png,https://archives.bulbagarden.net/media/upload/e/e1/0519Pidove.png
520,Navitaub,Tranquill,Normal,Flug,Unova,V,1,,pidove,62,77,62,50,42,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/520.png,https://archives.bulbagarden.net/media/upload/0/00/0520Tranquill.png
521,Fasasnob,Unfezant,Normal,Flug,Unova,V,2,,tranquill,80,115,80,65,55,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/521.png,https://archives.bulbagarden.net/media/upload/3/31/0521Unfezant.png
522,Elezeba,Blitzle,Elektro,,Unova,V,0,,,45,60,32,50,32,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/522.png,https://archives.bulbagarden.net/media/upload/0/08/0522Blitzle.png
523,Zebritz,Zebstrika,Elektro,,Unova,V,1,,blitzle,75,100,63,80,63,116,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/523.png,https://archives.bulbagarden.net/media/upload/7/76/0523Zebstrika.png
524,Kiesling,Roggenrola,Gestein,,Unova,V,0,,,55,75,85,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/524.png,https://archives.bulbagarden.net/media/upload/5/5f/0524Roggenrola.png
525,Sedimantur,Boldore,Gestein,,Unova,V,1,,roggenrola,70,105,105,50,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/525.png,https://archives.bulbagarden.net/media/upload/5/53/0525Boldore.png
526,Brockoloss,Gigalith,Gestein,,Unova,V,2,,boldore,85,135,130,60,80,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/526.png,https://archives.bulbagarden.net/media/upload/2/2b/0526Gigalith.png
527,Fleknoil,Woobat,Psycho,Flug,Unova,V,0,,,65,45,43,55,43,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/527.png,https://archives.bulbagarden.net/media/upload/d/d9/0527Woobat.png
528,Fletiamo,Swoobat,Psycho,Flug,Unova,V,1,,woobat,67,57,55,77,55,114,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/528.png,https://archives.bulbagarden.net/media/upload/a/ad/0528Swoobat.png
529,Rotomurf,Drilbur,Boden,,Unova,V,0,,,60,85,40,30,45,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/529.png,https://archives.bulbagarden.net/media/upload/7/77/0529Drilbur.png
530,Stalobor,Excadrill,Boden,Stahl,Unova,V,1,,drilbur,110,135,60,50,65,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/530.png,https://archives.bulbagarden.net/media/upload/e/e3/0530Excadrill.png
531,Ohrdoch,Audino,Normal,,Unova,V,0,,,103,60,86,60,86,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/531.png,https://archives.bulbagarden.net/media/upload/2/2c/0531Audino.png
532,Praktibalk,Timburr,Kampf,,Unova,V,0,,,75,80,55,25,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/532.png,https://archives.bulbagarden.net/media/upload/0/05/0532Timburr.png
533,Strepoli,Gurdurr,Kampf,,Unova,V,1,,timburr,85,105,85,40,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/533.png,https://archives.bulbagarden.net/media/upload/9/94/0533Gurdurr.png
534,Meistagrif,Conkeldurr,Kampf,,Unova,V,2,,gurdurr,105,140,95,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/534.png,https://archives.bulbagarden.net/media/upload/9/9f/0534Conkeldurr.png
535,Schallquap,Tympole,Wasser,,Unova,V,0,,,50,50,40,50,40,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/535.png,https://archives.bulbagarden.net/media/upload/c/c0/0535Tympole.png
536,Mebrana,Palpitoad,Wasser,Boden,Unova,V,1,,tympole,75,65,55,65,55,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/536.png,https://archives.bulbagarden.net/media/upload/e/ea/0536Palpitoad.png
537,Branawarz,Seismitoad,Wasser,Boden,Unova,V,2,,palpitoad,105,95,75,85,75,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/537.png,https://archives.bulbagarden.net/media/upload/b/be/0537Seismitoad.png
538,Jiutesto,Throh,Kampf,,Unova,V,0,,,120,100,85,30,85,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/538.png,https://archives.bulbagarden.net/media/upload/6/68/0538Throh.png
539,Karadonis,Sawk,Kampf,,Unova,V,0,,,75,125,75,30,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/539.png,https://archives.bulbagarden.net/media/upload/7/77/0539Sawk.png
540,Strawickl,Sewaddle,Käfer,Pflanze,Unova,V,0,,,45,53,70,40,60,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/540.png,https://archives.bulbagarden.net/media/upload/e/e8/0540Sewaddle.png
541,Folikon,Swadloon,Käfer,Pflanze,Unova,V,1,,sewaddle,55,63,90,50,80,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/541.png,https://archives.bulbagarden.net/media/upload/9/9f/0541Swadloon.png
542,Matrifol,Leavanny,Käfer,Pflanze,Unova,V,2,,swadloon,75,103,80,70,80,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/542.png,https://archives.bulbagarden.net/media/upload/8/86/0542Leavanny.png
543,Toxiped,Venipede,Käfer,Gift,Unova,V,0,,,30,45,59,30,39,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/543.png,https://archives.bulbagarden.net/media/upload/9/97/0543Venipede.png
544,Rollum,Whirlipede,Käfer,Gift,Unova,V,1,,venipede,40,55,99,40,79,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/544.png,https://archives.bulbagarden.net/media/upload/0/0d/0544Whirlipede.png
545,Cerapendra,Scolipede,Käfer,Gift,Unova,V,2,,whirlipede,60,100,89,55,69,112,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/545.png,https://archives.bulbagarden.net/media/upload/b/b6/0545Scolipede.png
546,Waumboll,Cottonee,Pflanze,Fee,Unova,V,0,,,40,27,60,37,50,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/546.png,https://archives.bulbagarden.net/media/upload/6/6c/0546Cottonee.png
547,Elfun,Whimsicott,Pflanze,Fee,Unova,V,1,,cottonee,60,67,85,77,75,116,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/547.png,https://archives.bulbagarden.net/media/upload/2/2c/0547Whimsicott.png
548,Lilminip,Petilil,Pflanze,,Unova,V,0,,,45,35,50,70,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/548.png,https://archives.bulbagarden.net/media/upload/2/2f/0548Petilil.png
549,Dressella,Lilligant,Pflanze,,Unova,V,1,,petilil,70,60,75,110,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/549.png,https://archives.bulbagarden.net/media/upload/c/c1/0549Lilligant.png
550,Barschuft,Basculin,Wasser,,Unova,V,0,,,70,92,65,80,55,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/550.png,https://archives.bulbagarden.net/media/upload/9/93/0550Basculin.png
551,Ganovil,Sandile,Boden,Unlicht,Unova,V,0,,,50,72,35,35,35,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/551.png,https://archives.bulbagarden.net/media/upload/c/cb/0551Sandile.png
552,Rokkaiman,Krokorok,Boden,Unlicht,Unova,V,1,,sandile,60,82,45,45,45,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/552.png,https://archives.bulbagarden.net/media/upload/b/ba/0552Krokorok.png
553,Rabigator,Krookodile,Boden,Unlicht,Unova,V,2,,krokorok,95,117,80,65,70,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/553.png,https://archives.bulbagarden.net/media/upload/4/42/0553Krookodile.png
554,Flampion,Darumaka,Feuer,,Unova,V,0,,,70,90,45,15,45,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/554.png,https://archives.bulbagarden.net/media/upload/9/95/0554Darumaka.png
555,Flampivian,Darmanitan,Feuer,,Unova,V,1,,darumaka,105,140,55,30,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/555.png,https://archives.bulbagarden.net/media/upload/a/a3/0555Darmanitan.png
556,Maracamba,Maractus,Pflanze,,Unova,V,0,,,75,86,67,106,67,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/556.png,https://archives.bulbagarden.net/media/upload/1/16/0556Maractus.png
557,Lithomith,Dwebble,Käfer,Gestein,Unova,V,0,,,50,65,85,35,35,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/557.png,https://archives.bulbagarden.net/media/upload/d/d9/0557Dwebble.png
558,Castellith,Crustle,Käfer,Gestein,Unova,V,1,,dwebble,70,105,125,65,75,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/558.png,https://archives.bulbagarden.net/media/upload/a/a2/0558Crustle.png
559,Zurrokex,Scraggy,Unlicht,Kampf,Unova,V,0,,,50,75,70,35,70,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/559.png,https://archives.bulbagarden.net/media/upload/b/bd/0559Scraggy.png
560,Irokex,Scrafty,Unlicht,Kampf,Unova,V,1,,scraggy,65,90,115,45,115,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/560.png,https://archives.bulbagarden.net/media/upload/8/84/0560Scrafty.png
561,Symvolara,Sigilyph,Psycho,Flug,Unova,V,0,,,72,58,80,103,80,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/561.png,https://archives.bulbagarden.net/media/upload/a/a5/0561Sigilyph.png
562,Makabaja,Yamask,Geist,,Unova,V,0,,,38,30,85,55,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/562.png,https://archives.bulbagarden.net/media/upload/8/8b/0562Yamask.png
563,Echnatoll,Cofagrigus,Geist,,Unova,V,1,,yamask,58,50,145,95,105,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/563.png,https://archives.bulbagarden.net/media/upload/a/a0/0563Cofagrigus.png
564,Galapaflos,Tirtouga,Wasser,Gestein,Unova,V,0,,,54,78,103,53,45,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/564.png,https://archives.bulbagarden.net/media/upload/c/cd/0564Tirtouga.png
565,Karippas,Carracosta,Wasser,Gestein,Unova,V,1,,tirtouga,74,108,133,83,65,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/565.png,https://archives.bulbagarden.net/media/upload/b/b9/0565Carracosta.png
566,Flapteryx,Archen,Gestein,Flug,Unova,V,0,,,55,112,45,74,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/566.png,https://archives.bulbagarden.net/media/upload/6/6d/0566Archen.png
567,Aeropteryx,Archeops,Gestein,Flug,Unova,V,1,,archen,75,140,65,112,65,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/567.png,https://archives.bulbagarden.net/media/upload/c/c5/0567Archeops.png
568,Unratütox,Trubbish,Gift,,Unova,V,0,,,50,50,62,40,62,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/568.png,https://archives.bulbagarden.net/media/upload/c/c4/0568Trubbish.png
569,Deponitox,Garbodor,Gift,,Unova,V,1,,trubbish,80,95,82,60,82,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/569.png,https://archives.bulbagarden.net/media/upload/c/cf/0569Garbodor.png
570,Zorua,Zorua,Unlicht,,Unova,V,0,,,40,65,40,80,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/570.png,https://archives.bulbagarden.net/media/upload/0/0d/0570Zorua.png
571,Zoroark,Zoroark,Unlicht,,Unova,V,1,,zorua,60,105,60,120,60,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/571.png,https://archives.bulbagarden.net/media/upload/5/52/0571Zoroark.png
572,Picochilla,Minccino,Normal,,Unova,V,0,,,55,50,40,40,40,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/572.png,https://archives.bulbagarden.net/media/upload/8/8b/0572Minccino.png
573,Chillabell,Cinccino,Normal,,Unova,V,1,,minccino,75,95,60,65,60,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/573.png,https://archives.bulbagarden.net/media/upload/4/49/0573Cinccino.png
574,Mollimorba,Gothita,Psycho,,Unova,V,0,,,45,30,50,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/574.png,https://archives.bulbagarden.net/media/upload/a/ab/0574Gothita.png
575,Hypnomorba,Gothorita,Psycho,,Unova,V,1,,gothita,60,45,70,75,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/575.png,https://archives.bulbagarden.net/media/upload/2/26/0575Gothorita.png
576,Morbitesse,Gothitelle,Psycho,,Unova,V,2,,gothorita,70,55,95,95,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/576.png,https://archives.bulbagarden.net/media/upload/d/d2/0576Gothitelle.png
577,Monozyto,Solosis,Psycho,,Unova,V,0,,,45,30,40,105,50,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/577.png,https://archives.bulbagarden.net/media/upload/f/f2/0577Solosis.png
578,Mitodos,Duosion,Psycho,,Unova,V,1,,solosis,65,40,50,125,60,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/578.png,https://archives.bulbagarden.net/media/upload/1/10/0578Duosion.png
579,Zytomega,Reuniclus,Psycho,,Unova,V,2,,duosion,110,65,75,125,85,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/579.png,https://archives.bulbagarden.net/media/upload/1/1a/0579Reuniclus.png
580,Piccolente,Ducklett,Wasser,Flug,Unova,V,0,,,62,44,50,44,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/580.png,https://archives.bulbagarden.net/media/upload/2/2e/0580Ducklett.png
581,Swaroness,Swanna,Wasser,Flug,Unova,V,1,,ducklett,75,87,63,87,63,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/581.png,https://archives.bulbagarden.net/media/upload/1/16/0581Swanna.png
582,Gelatini,Vanillite,Eis,,Unova,V,0,,,36,50,50,65,60,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/582.png,https://archives.bulbagarden.net/media/upload/1/1a/0582Vanillite.png
583,Gelatroppo,Vanillish,Eis,,Unova,V,1,,vanillite,51,65,65,80,75,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/583.png,https://archives.bulbagarden.net/media/upload/6/66/0583Vanillish.png
584,Gelatwino,Vanilluxe,Eis,,Unova,V,2,,vanillish,71,95,85,110,95,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/584.png,https://archives.bulbagarden.net/media/upload/b/b0/0584Vanilluxe.png
585,Sesokitz,Deerling,Normal,Pflanze,Unova,V,0,,,60,60,50,40,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/585.png,https://archives.bulbagarden.net/media/upload/c/c9/0585Deerling.png
586,Kronjuwild,Sawsbuck,Normal,Pflanze,Unova,V,1,,deerling,80,100,70,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/586.png,https://archives.bulbagarden.net/media/upload/b/ba/0586Sawsbuck.png
587,Emolga,Emolga,Elektro,Flug,Unova,V,0,,,55,75,60,75,60,103,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/587.png,https://archives.bulbagarden.net/media/upload/9/96/0587Emolga.png
588,Laukaps,Karrablast,Käfer,,Unova,V,0,,,50,75,45,40,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/588.png,https://archives.bulbagarden.net/media/upload/6/6b/0588Karrablast.png
589,Cavalanzas,Escavalier,Käfer,Stahl,Unova,V,1,,karrablast,70,135,105,60,105,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/589.png,https://archives.bulbagarden.net/media/upload/2/26/0589Escavalier.png
590,Tarnpignon,Foongus,Pflanze,Gift,Unova,V,0,,,69,55,45,55,55,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/590.png,https://archives.bulbagarden.net/media/upload/b/bf/0590Foongus.png
591,Hutsassa,Amoonguss,Pflanze,Gift,Unova,V,1,,foongus,114,85,70,85,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/591.png,https://archives.bulbagarden.net/media/upload/1/15/0591Amoonguss.png
592,Quabbel,Frillish,Wasser,Geist,Unova,V,0,,,55,40,50,65,85,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/592.png,https://archives.bulbagarden.net/media/upload/a/a9/0592Frillish.png
593,Apoquallyp,Jellicent,Wasser,Geist,Unova,V,1,,frillish,100,60,70,85,105,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/593.png,https://archives.bulbagarden.net/media/upload/a/a7/0593Jellicent.png
594,Mamolida,Alomomola,Wasser,,Unova,V,0,,,165,75,80,40,45,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/594.png,https://archives.bulbagarden.net/media/upload/f/f7/0594Alomomola.png
595,Wattzapf,Joltik,Käfer,Elektro,Unova,V,0,,,50,47,50,57,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/595.png,https://archives.bulbagarden.net/media/upload/e/e7/0595Joltik.png
596,Voltula,Galvantula,Käfer,Elektro,Unova,V,1,,joltik,70,77,60,97,60,108,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/596.png,https://archives.bulbagarden.net/media/upload/2/2d/0596Galvantula.png
597,Kastadur,Ferroseed,Pflanze,Stahl,Unova,V,0,,,44,50,91,24,86,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/597.png,https://archives.bulbagarden.net/media/upload/8/89/0597Ferroseed.png
598,Tentantel,Ferrothorn,Pflanze,Stahl,Unova,V,1,,ferroseed,74,94,131,54,116,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/598.png,https://archives.bulbagarden.net/media/upload/b/b1/0598Ferrothorn.png
599,Klikk,Klink,Stahl,,Unova,V,0,,,40,55,70,45,60,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/599.png,https://archives.bulbagarden.net/media/upload/2/21/0599Klink.png
600,Kliklak,Klang,Stahl,,Unova,V,1,,klink,60,80,95,70,85,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/600.png,https://archives.bulbagarden.net/media/upload/6/62/0600Klang.png
601,Klikdiklak,Klinklang,Stahl,,Unova,V,2,,klang,60,100,115,70,85,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/601.png,https://archives.bulbagarden.net/media/upload/1/1f/0601Klinklang.png
602,Zapplardin,Tynamo,Elektro,,Unova,V,0,,,35,55,40,45,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/602.png,https://archives.bulbagarden.net/media/upload/8/8a/0602Tynamo.png
603,Zapplalek,Eelektrik,Elektro,,Unova,V,1,,tynamo,65,85,70,75,70,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/603.png,https://archives.bulbagarden.net/media/upload/9/94/0603Eelektrik.png
604,Zapplarang,Eelektross,Elektro,,Unova,V,2,,eelektrik,85,115,80,105,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/604.png,https://archives.bulbagarden.net/media/upload/1/1c/0604Eelektross.png
605,Pygraulon,Elgyem,Psycho,,Unova,V,0,,,55,55,55,85,55,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/605.png,https://archives.bulbagarden.net/media/upload/7/77/0605Elgyem.png
606,Megalon,Beheeyem,Psycho,,Unova,V,1,,elgyem,75,75,75,125,95,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/606.png,https://archives.bulbagarden.net/media/upload/9/99/0606Beheeyem.png
607,Lichtel,Litwick,Geist,Feuer,Unova,V,0,,,50,30,55,65,55,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/607.png,https://archives.bulbagarden.net/media/upload/c/cf/0607Litwick.png
